id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
10428,206911,6480000.0,El Sheikh Zayed,,6480000.0,2023-12-02 00:00:00,2023-12-03 12:48:00,2023-12-06 00:00:00,21,26.0,823.0,Primary,10.0,Apartment
926,41955,7126893.0,El Gouna,,,2021-08-04 00:00:00,,2021-08-04 00:00:00,7,5.0,248.0,Primary,,Townhouse
3482,142015,3432000.0,New Cairo,,3432000.0,2022-10-31 00:00:00,,2022-10-31 00:00:00,21,2.0,543.0,Primary,,Apartment
3488,146872,4457304.0,6th of October City,,4457304.0,2022-10-31 00:00:00,2022-10-31 00:00:00,2022-11-07 00:00:00,21,1.0,223.0,Primary,,Apartment
7589,236121,3301012.0,New Capital City,3301000.0,3301012.0,2023-06-26 00:00:00,,2023-07-17 00:00:00,21,9.0,878.0,Primary,8.0,Apartment
10338,327279,4517263.0,New Capital City,,4517263.0,2023-11-10 00:00:00,,2023-11-28 00:00:00,21,9.0,1058.0,Primary,10.0,Apartment
3544,144779,2322000.0,New Capital City,,2322000.0,2022-11-12 00:00:00,,2022-11-12 00:00:00,21,9.0,546.0,Primary,10.0,Apartment
922,41955,7126893.0,El Gouna,,,2021-08-04 00:00:00,,2021-08-04 00:00:00,7,5.0,248.0,,,Townhouse
1223,53536,2700000.0,New Cairo,,,2021-10-20 00:00:00,,,21,2.0,38.0,,,Apartment
3678,154769,3486924.0,6th of October City,4000000.0,3486924.0,2022-12-05 00:00:00,,2022-12-12 00:00:00,21,1.0,639.0,Primary,1.0,Apartment
8772,300863,3385000.0,North Coast,3554250.0,,2023-09-19 00:00:00,,2023-10-08 00:00:00,21,3.0,493.0,Primary,8.0,Apartment
3690,155766,4477770.0,6th of October City,,4477770.0,2022-12-06 00:00:00,2022-12-06 00:00:00,2022-12-08 00:00:00,21,1.0,422.0,Primary,9.0,Apartment
3694,145351,4637000.0,New Cairo,,4637000.0,2022-12-07 00:00:00,2022-12-07 00:00:00,2022-12-13 00:00:00,21,2.0,148.0,Primary,8.0,Apartment
10001,145,2735000.0,,,2735000.0,,,2023-11-13 11:27:00,21,2.0,38.0,Resale Seller,0.0,Apartment
8885,141592,7268378.0,Mostakbal City,4500000.0,,2023-10-31 00:00:00,2023-10-31 21:13:00,2023-11-28 00:00:00,21,10.0,996.0,Primary,8.0,Apartment
513,18428,9205875.0,,,,2019-11-05 00:00:00,,2019-11-05 00:00:00,21,,,,,Apartment
3721,146170,3457414.0,New Cairo,,3457414.0,2022-12-11 00:00:00,2022-12-12 00:00:00,2022-12-28 00:00:00,21,2.0,669.0,Primary,8.0,Apartment
10112,168,3436000.0,,,3436000.0,,,2023-11-19 09:29:00,21,9.0,1058.0,Primary,5.0,Apartment
710,13567,1680000.0,6th October,,,2020-04-11 00:00:00,,2021-01-27 00:00:00,21,1.0,274.0,Primary,,Apartment
9865,122,9820000.0,,,9820000.0,,,2023-11-06 13:28:00,21,2.0,38.0,Primary,8.0,Apartment
9505,325299,4126398.0,6th of October City,4500000.0,4126398.0,2023-11-04 00:00:00,2023-11-05 11:26:00,2023-11-19 00:00:00,21,1.0,1039.0,Primary,8.0,Apartment
711,30085,2283000.0,Ain Sokhna,,,2021-01-25 00:00:00,,2021-02-08 00:00:00,21,4.0,90.0,Primary,,Apartment
